"AUTEUR	DATUM	PARTIJ	CONTENT";;;;
"Martin van Rooijen	07-04-2020 18:12:31	50Plus	Martin van Rooijen (@MvRooijen): RT @derspiegel: Hoffnung in Südkorea: Dort haben sich zwei ältere Patienten von ihrer schweren Lungenerkrankung erholt, nachdem sie mit dem Blutplasma geheilter Covid-19-Patienten behandelt worden sind. Das News-Update. https://t.co/PxStih2ENm";;;;
"Peter Kwint	07-04-2020 18:08:30	SP	Peter Kwint (@peterkwint): Rustmoment: #KleineKwint probeert al tien minuten met haar vork heel geconcentreerd pijnboompitten te eten. Top.";;;;
"Geert Wilders	07-04-2020 18:03:10	PVV	Geert Wilders (@geertwilderspvv): RT @geertwilderspvv: Testen, testen en testen. Massaal. Mensen met #Corona isoleren en contactpersonen in quarantaine. Meest effectieve manier om virus te laten doven op weg naar exitstrategie op termijn en ook economisch de beste optie. Zie Zuid-Korea en Duitsland. https://t.co/UeyCFz3CGx";;;;
"Alexander Kops • PVV	07-04-2020 17:48:35	onbekend	Alexander Kops • PVV (@KopsPVV): RT @geertwilderspvv: Testen, testen en testen. Massaal. Mensen met #Corona isoleren en contactpersonen in quarantaine. Meest effectieve manier om virus te laten doven op weg naar exitstrategie op termijn en ook economisch de beste optie. Zie Zuid-Korea en Duitsland. https://t.co/UeyCFz3CGx";;;;
"Foort van Oosten	07-04-2020 17:48:22	VVD	Foort van Oosten (@foortvanoosten): Even poolshoogte nemen op de Maasboulevard #Spijkenisse #Nissewaard. Rustig, gelukkig houdt iedereen zich hier nu keurig aan de afspraken. Zonodig legt onze #handhaving onvermoeibaar uit dat afstand houden in deze tijd noodzakelijk is en blijft. Volhouden! #SamentegenCorona! https://t.co/K95qkdMvuo";;;;
"Léon de Jong	07-04-2020 17:47:35	PVV	Léon de Jong (@leondejong): RT @geertwilderspvv: Testen, testen en testen. Massaal. Mensen met #Corona isoleren en contactpersonen in quarantaine. Meest effectieve manier om virus te laten doven op weg naar exitstrategie op termijn en ook economisch de beste optie. Zie Zuid-Korea en Duitsland. https://t.co/UeyCFz3CGx";;;;
"Wim-Jan Renkema	07-04-2020 17:34:28	GroenLinks	Wim-Jan Renkema (@wimjanrenkema): Vandaag is het #wereldgezondheidsdag. De wereldwijde Coronacrisis laat zien hoe belangrijk onze gezondheidszorg is. Vanuit mijn tuin (#ikblijfthuis) denk ik aan iedereen die nu keihard werkt. In ziekenhuis, verpleeghuis, maar ook in GGD, opvang en elders. #ikdraagwitvoordezorg https://t.co/BC6tU58xkz";;;;
"Pieter Omtzigt	07-04-2020 17:31:54	CDA	Pieter Omtzigt (@PieterOmtzigt): Vorige week heb ik opheldering gevraagd over dit pakket van 37 miljard (1) https://t.co/SiVlxfAc1h";;;;
"Ton van Kesteren	07-04-2020 17:30:49	PVV	Ton van Kesteren (@PVVKesteren): RT @geertwilderspvv: Vreemd, Verhagen was letterlijk in tranen zo blij dat hij in 2010 vice-premier kon worden, hij bedankte me ongeveer tien keer per dag na de onderhandelingen en was ontzettend boos toen het bij de Catshuis-onderhandelingen misging - vooral vanwege zijn eigen baantje. https://t.co/L6obBkPHea";;;;
"Ton van Kesteren	07-04-2020 17:30:29	PVV	Ton van Kesteren (@PVVKesteren): RT @geertwilderspvv: Zeer hoog aantal aan #Corona overleden mensen te betreuren. We leven intens mee met alle nabestaanden. Wat een verdriet. https://t.co/HVbWfxqwsC";;;;
"Ton van Kesteren	07-04-2020 17:30:07	PVV	Ton van Kesteren (@PVVKesteren): RT @geertwilderspvv: Testen, testen en testen. Massaal. Mensen met #Corona isoleren en contactpersonen in quarantaine. Meest effectieve manier om virus te laten doven op weg naar exitstrategie op termijn en ook economisch de beste optie. Zie Zuid-Korea en Duitsland. https://t.co/UeyCFz3CGx";;;;
"Lodewijk Asscher	07-04-2020 17:29:32	PvdA	Lodewijk Asscher (@LodewijkA): RT @nowthisnews: New Zealand PM Jacinda Ardern wants the country's children to know that the Tooth Fairy and the Easter Bunny are 'essential workers' ️ https://t.co/ydPvOr3eKF";;;;
"Alexander van Hattem	07-04-2020 17:27:11	PVV	Alexander van Hattem (@AWJAvanHattem): RT @geertwilderspvv: Testen, testen en testen. Massaal. Mensen met #Corona isoleren en contactpersonen in quarantaine. Meest effectieve manier om virus te laten doven op weg naar exitstrategie op termijn en ook economisch de beste optie. Zie Zuid-Korea en Duitsland. https://t.co/UeyCFz3CGx";;;;
"Vicky Maeijer	07-04-2020 17:26:31	PVV	Vicky Maeijer (@VickyMaeijer): RT @geertwilderspvv: Testen, testen en testen. Massaal. Mensen met #Corona isoleren en contactpersonen in quarantaine. Meest effectieve manier om virus te laten doven op weg naar exitstrategie op termijn en ook economisch de beste optie. Zie Zuid-Korea en Duitsland. https://t.co/UeyCFz3CGx";;;;
"Edgar Mulder	07-04-2020 17:23:21	PVV	Edgar Mulder (@edgarmulder1): RT @geertwilderspvv: Testen, testen en testen. Massaal. Mensen met #Corona isoleren en contactpersonen in quarantaine. Meest effectieve manier om virus te laten doven op weg naar exitstrategie op termijn en ook economisch de beste optie. Zie Zuid-Korea en Duitsland. https://t.co/UeyCFz3CGx";;;;
"Erik Ronnes	07-04-2020 17:21:56	CDA	Erik Ronnes (@ErikRonnes): RT @WBHoekstra: Ter voorbereiding op de #Eurogroep met Europese ministers van Financiën besprak ik de agenda vandaag met de vaste Kamercommissie Financiën in de #TweedeKamer @2eKamertweets https://t.co/AJt2HoJm8K";;;;
"Geert Wilders	07-04-2020 17:21:45	PVV	Geert Wilders (@geertwilderspvv): Testen, testen en testen. Massaal. Mensen met #Corona isoleren en contactpersonen in quarantaine. Meest effectieve manier om virus te laten doven op weg naar exitstrategie op termijn en ook economisch de beste optie. Zie Zuid-Korea en Duitsland. https://t.co/UeyCFz3CGx";;;;
"Ton van Kesteren	07-04-2020 17:20:40	PVV	Ton van Kesteren (@PVVKesteren): RT @ljouwerter84: Ben bang Ton dat we A'dam achterna gaan. Daar willen ze hier zo graag op lijken... Mijn huis kan alleen met erg veel geld aangepast, heb k niet. Nu al rijzen de OZB en WOZ de pan uit. Dit is gewoon socialisme vd bovenste plank, we gaan Venezuela achterna, let maar op... https://t.co/THnYn7XY1m";;;;
"Leendert de Lange	07-04-2020 17:19:57	VVD	Leendert de Lange (@leendertdelange): RT @KNBRD: Inzet @RBGravenzande, zondag 5 april, op #strand ter ondersteuning #politie en gemeentelijke handhavers. #lifeguards en terreinvaardig voertuig in actie, om eventuele drukte te signaleren. Lees: https://t.co/l6CKw9Tzna. #veiligheid #StaySafe #AlleenSamen #BlijfThuis #coronavirus https://t.co/SAd6Cz2Rid";;;;
"Wopke Hoekstra	07-04-2020 17:16:47	CDA	Wopke Hoekstra (@WBHoekstra): Ter voorbereiding op de #Eurogroep met Europese ministers van Financiën besprak ik de agenda vandaag met de vaste Kamercommissie Financiën in de #TweedeKamer @2eKamertweets https://t.co/AJt2HoJm8K";;;;
"Martin Bosma 🇬🇷	07-04-2020 17:13:13	onbekend	Martin Bosma 🇬🇷 (@Martinbosma_pvv): RT @cryp2night: Hahahaha @Martinbosma_pvv over D66 Ollongren Van Engelshoven en Jetten Gerard Reve https://t.co/7osv04e723";;;;
"Erik Ronnes	07-04-2020 16:57:55	CDA	Erik Ronnes (@ErikRonnes): We moeten juist nu zorgen dat corporaties in stelling worden gebracht!. In de crisis moeten juist zij anti-cyclisch kunnen functioneren #bouwopgave #markttoets #verhuurderheffing #atad. - Coronavirus bedreigt ook bouw van nieuwe woningen - https://t.co/uC7RX8GOpR";;;;
"Peter Kwint	07-04-2020 16:53:17	SP	Peter Kwint (@peterkwint): RT @EstherAlora: Had ik nou nooit verwachtHad ik nou nooit verwacht https://t.co/FmpjynagBq";;;;
"Dilan #blijftthuis	07-04-2020 16:49:30	onbekend	Dilan #blijftthuis (@DilanYesilgoz): RT @MinPres: Goed om te zien dat de meeste mensen dit weekend gehoor hebben gegeven aan de oproep om thuis te blijven, ondanks het mooie weer. Hier en daar moest jammer genoeg toch worden ingegrepen. Het is belangrijk dat we ons allemaal aan de maatregelen houden. We moeten dit samen doen.";;;;
"Steven van Weyenberg	07-04-2020 16:43:07	D66	Steven van Weyenberg (@svanweyenberg): En denk dat nog veel bedrijven zullen volgen https://t.co/9AGb47tLho";;;;
"Ank Bijleveld	07-04-2020 16:39:22	CDA	Ank Bijleveld (@MinBijleveld): Defensie helpt bevoorrading voedselbanken weer op gang | Nieuwsbericht | https://t.co/hQEZgRGtPh https://t.co/OuxqQgS6mU";;;;
"Ministerie van OCW	07-04-2020 16:39:14	onbekend	Ministerie van OCW (@MinOCW): RT @ivanengelshoven: Met bewondering kijk ik naar de inventiviteit, creativiteit en de snelheid van het online onderwijs bij hogescholen en universiteiten. Vandaag ging ik online op werkbezoek bij SURF en in gesprek met studenten, docenten, leden van het Versnellingsplan, @deVSNU @Ver_Hogescholen https://t.co/fomYRbG6Yi";;;;
"Martijn van Helvert🇳🇱🇪🇺	07-04-2020 16:37:49	onbekend	Martijn van Helvert🇳🇱🇪🇺 (@Martijncda): Deze week is het FB en Instagram live spreekuur op woensdagavond van 20.30 tot 21.30 uur. Doe mee! Tot woensdagavond! #KortelijnmetMartijn https://t.co/RpBviOoaD2";;;;
"Openbaar Ministerie	07-04-2020 16:37:01	onbekend	Openbaar Ministerie (@Het_OM): RT @OM_DenHaag: Wat gebeurt er tijdens een rechtszaak en hoe bepaal je een straf(eis)? De tweede #DREAMSCHOOL les van officier van justitie Wouter Bos, dit keer op locatie in de @HaagseRechtbank. Vanavond om 20.25 uur op NPO3 @dreamschoolntr https://t.co/bDDFUQ3bRd";;;;
"Kirsten van den Hul	07-04-2020 16:34:05	PvdA	Kirsten van den Hul (@kirstenvdhul): RT @NPORadio1: Er is volgens stichting @Fier_NL een alarmerende toename van meldingen van huiselijk geweld. 'Ik weet uit eigen ervaring hoe moeilijk het is om melding te doen van partnergeweld, laat staan als de dader de hele dag naast je zit', zegt @PvdA-kamerlid @kirstenvdhul https://t.co/NYbnH1XMBV";;;;
"René Dercksen	07-04-2020 16:33:23	PVV	René Dercksen (@ReneDercksen): Voor de 75.000 door hem ontslagen werknemers in de zorg een wit shirt. Hoe groot kan het bord voor je kop precies zijn? https://t.co/ipbA1pbrOH";;;;
"René Dercksen	07-04-2020 16:30:31	PVV	René Dercksen (@ReneDercksen): Dit zei ik een week of twee geleden ook al tegen wat mensen. Goed plan.  https://t.co/ImRFU0Rxnq";;;;
"Thierry Baudet	07-04-2020 16:29:14	FvD	Thierry Baudet (@thierrybaudet): MINI-DOCU: Corona in Nederland (FVD Journaal Special). Hoe zijn we hier terecht gekomen - en hoe komen we er weer uit? https://t.co/F6cVUul1uC via @YouTube #FVD";;;;
"Ingrid van Engelshoven	07-04-2020 16:28:45	D66	Ingrid van Engelshoven (@ivanengelshoven): Met bewondering kijk ik naar de inventiviteit, creativiteit en de snelheid van het online onderwijs bij hogescholen en universiteiten. Vandaag ging ik online op werkbezoek bij SURF en in gesprek met studenten, docenten, leden van het Versnellingsplan, @deVSNU @Ver_Hogescholen https://t.co/fomYRbG6Yi";;;;
"Helma Lodders #blijfthuis	07-04-2020 16:22:59	onbekend	Helma Lodders #blijfthuis (@HelmaLodders): Morgen vindt er voorafgaand aan het debat over het coronavirus weer een technische briefing plaats. Via onderstaande link is deze briefing rechtstreeks te volgen. https://t.co/XzdK4ADRSk https://t.co/KGU56UUbtk";;;;
"Peter Kwint	07-04-2020 16:21:50	SP	Peter Kwint (@peterkwint): Mooi pleidooi van @b_v_apeldoorn en @RenskeLeijten: https://t.co/hu8nkc8Uk7 https://t.co/iRBkyHW1d2";;;;
"Daniel Koerhuis #ikblijfthuis	07-04-2020 16:21:11	onbekend	Daniel Koerhuis #ikblijfthuis (@danielkoerhuis): RT @vastgoed_belang: Kabinet: tijdelijk huurcontract moet verlengd kunnen tijdens coronacrisis https://t.co/IqaKhROpWo via @NUnl";;;;
"Daniel Koerhuis #ikblijfthuis	07-04-2020 16:21:01	onbekend	Daniel Koerhuis #ikblijfthuis (@danielkoerhuis): RT @Aedesnet: Spoedwet: verlenging tijdelijke huurcontracten mogelijk in coronacrisis https://t.co/8LCP6GBDiX";;;;
"Hugo de Jonge	07-04-2020 16:18:52	CDA	Hugo de Jonge (@hugodejonge): Juist in deze tijd blijkt hoe kwetsbaar onze gezondheid is, en hoe dankbaar we mogen zijn dat we in een land wonen met al die geweldige mensen in de zorg. Ook op deze #wereldgezondheidsdag danken we jullie voor jullie tomeloze inzet! https://t.co/QXblVdQqbs";;;;
"Cem Lacin	07-04-2020 16:14:01	onbekend	Cem Lacin (@CemLacin): Uhmm.. dat was de motie van @suzanne_GL, @EvavanEsch en mijzelf die aangenomen werd en nu wordt uitgevoerd. Maar goed om te zien dat @D66 onze motie heeft omarmd en het zich ‘eigen heeft gemaakt!  https://t.co/PPTnAkvl0Y";;;;
"Martin van Rooijen	07-04-2020 16:07:16	50Plus	Martin van Rooijen (@MvRooijen): RT @lexhoogduin: Eurobonds are not the answer https://t.co/lfV6Hpfdvo via @financialtimes";;;;
"Alexander van Hattem	07-04-2020 16:04:01	PVV	Alexander van Hattem (@AWJAvanHattem): RT @wierdduk: Tragedie: ""Jongste (29) van Brabantse broers aan corona overleden op ic"" https://t.co/E9SFZGK6dX via @telegraaf";;;;
"Peter Kwint	07-04-2020 15:56:44	SP	Peter Kwint (@peterkwint): RT @RenskeLeijten: @paultang @SPnl Volgens mij was het juist Dijsselbloem die rechts beleid uitvoerde en het zuiden geen kans gaf https://t.co/poVicmRb6M";;;;
"Henk Nijboer	07-04-2020 15:50:00	PvdA	Henk Nijboer (@henknijboer): RT @WilcoBoom: Voor wie wil weten waarom GrL en PvdA wél voor eurobonds zijn, check deze link: https://t.co/S1ivrDKlmX";;;;
"Martin van Rooijen	07-04-2020 15:48:26	50Plus	Martin van Rooijen (@MvRooijen): .@landnrw: Gute Nachbarschaft. https://t.co/tTeNd9oA0o";;;;
"Sigrid Kaag	07-04-2020 15:47:26	D66	Sigrid Kaag (@SigridKaag): RT @DutchMFA: Health care workers play a vital role, attending to our health and wellbeing. Amidst the current crisis their importance and that of strong health systems could not be more apparent. This #WorldHealthDay we express our thanks and appreciation. #SupportNursesAndMidwives #COVID19 https://t.co/ZVPTNHDmL5";;;;
"Martin van Rooijen	07-04-2020 15:42:44	50Plus	Martin van Rooijen (@MvRooijen): RT @EersteKamer: Eerste Kamer met algemene stemmen en zonder debat akkoord met wetsvoorstellen noodpakket banen en economie van het kabinet. Fracties legden wel een stemverklaring af. Minister @WBHoekstra legde namens het kabinet een verklaring af. https://t.co/6JV78SNVJQ https://t.co/30z8FwR3WQ";;;;
"Martin van Rooijen	07-04-2020 15:38:33	50Plus	Martin van Rooijen (@MvRooijen): Tijdig Duidelijk signaal aan Zuid Europa voor het begin van video vergadering van Ministers van Financiën. #Eurobonds zou leiden tot extra stijging van onze rente. Doel Zuid Europa is hun rente nog verder te verlagen: bijna gratis nog meer schulden maken. https://t.co/oUx0tOB6n9";;;;
"Lilian Helder	07-04-2020 15:36:43	PVV	Lilian Helder (@lilianhelderpvv): Het kan erger, want volgens dezelfde generatie zouden we en masse naar de kl.t.n gaan als we niks zouden doen tegen de stikstofuitstoot... https://t.co/bP5rMXqwlH";;;;
"Thierry Baudet	07-04-2020 15:29:01	FvD	Thierry Baudet (@thierrybaudet): RT @geertwilderspvv: Vreemd, Verhagen was letterlijk in tranen zo blij dat hij in 2010 vice-premier kon worden, hij bedankte me ongeveer tien keer per dag na de onderhandelingen en was ontzettend boos toen het bij de Catshuis-onderhandelingen misging - vooral vanwege zijn eigen baantje. https://t.co/L6obBkPHea";;;;
"Mustafa Amhaouch	07-04-2020 15:22:52	CDA	Mustafa Amhaouch (@MustafaAmhaouch): RT @JobaCDA: Grote dank aan onze Duitse buren ⁦voor hun hulp bij #coronacrisis ⁦@NOS⁩ ! #Duitsland https://t.co/DejLAenxF0";;;;
"Laura Bromet 🦔	07-04-2020 15:20:25	onbekend	Laura Bromet 🦔 (@LauraBromet): https://t.co/7DLBnwX9qd";;;;
"Chris Stoffer	07-04-2020 15:18:17	SGP	Chris Stoffer (@chris_stoffer): RT @LeonBrandsema: Stoffer (SGP) wil Europese samenwerking op medisch gebied. Maar ziet gevaar dat crisis wordt gebruikt door Europa om nog meer macht te krijgen. Is tegen eurobonds en gezamenlijke schulden op een andere manier.";;;;
"Erik Ronnes	07-04-2020 15:17:35	CDA	Erik Ronnes (@ErikRonnes): RT @MinBZK: Geen gedwongen verkopen van huizen gedurende coronacrisis. ️ Dit heeft minister @SvVeldhoven afgesproken met hypotheekverstrekkers en woonpartijen. ⤵️ https://t.co/hyjUUKOBj5 #wonen #coronavirus https://t.co/rYpBWFLdBw";;;;
"Partij voor de Dieren	07-04-2020 15:16:20	onbekend	Partij voor de Dieren (@PartijvdDieren): ""Eén van de meest indringende uitingen van de online #Klimaatstaking was het bordje waarop stond: Terug naar normaal = terug naar de klimaatcrisis. En dat kunnen we ons niet veroorloven."" Ons Kamerlid @LammertvanRaan #coronavirus #klimaatcrisis #DigitalStrike https://t.co/UZn5s74Qlg";;;;
"Eppo Bruins	07-04-2020 15:15:43	ChristenUnie	Eppo Bruins (@eppobruins): RT @LeonBrandsema: Bruins maakt zich zorgen over de 'nee-boodschap' die Hoekstra verkondigt. Wil weten hoe er ook een 'ja-boodschap' voor Italië kan komen";;;;
"Martin van Rooijen	07-04-2020 15:15:42	50Plus	Martin van Rooijen (@MvRooijen): RT @FD_Nieuws: Rome graaft zich in en eist louter nog eurobonds https://t.co/05VYstu847 https://t.co/21RYkTMC8y";;;;
"Eppo Bruins	07-04-2020 15:14:48	ChristenUnie	Eppo Bruins (@eppobruins): RT @LeonBrandsema: Vanuit CDA een motie die door een meerderheid (VVD, SP, CU, SGP en 50PLUS) wordt ondersteund https://t.co/Kn72nMhCOU";;;;
"Laura Bromet 🦔	07-04-2020 15:12:25	onbekend	Laura Bromet 🦔 (@LauraBromet): Wat was t? https://t.co/noFYZ4kmYP";;;;
"Lodewijk Asscher	07-04-2020 15:10:18	PvdA	Lodewijk Asscher (@LodewijkA): Extra diensten, ingetrokken verloven, gepensioneerden die terugkeren om te helpen. Ik ben diep onder de indruk van de kunde, de betrokkenheid en de inzet van de mensen in de zorg.  Daarom ben ik vandaag ook #inhetwitvoordezorg https://t.co/p0EOQv5GUS";;;;
"Eppo Bruins	07-04-2020 15:09:56	ChristenUnie	Eppo Bruins (@eppobruins): N.a.v. de door @youjonker gekozen kop: Hoekstra s ja-boodschap naar Italië moet duidelijk klinken vanmiddag: solidariteit *is* wederkerigheid. https://t.co/E0HnENluvF";;;;
"Martin van Rooijen	07-04-2020 15:02:33	50Plus	Martin van Rooijen (@MvRooijen): .@LodewijkA: ben benieuwd of je later gaat draaien over #Eurobonds. Bijv na de verkiezingen in 2021. https://t.co/jUX8aeH3dI";;;;
"Martin van Rooijen	07-04-2020 14:59:54	50Plus	Martin van Rooijen (@MvRooijen): Duidelijke meerderheid over wat wel en wat niet kan bij steun aan Zuid Europa. Steun voor minister Hoekstra: Nee tegen #Eurobonds. https://t.co/E5zE70GYkh";;;;
"Matthijs Sienot	07-04-2020 14:59:02	D66	Matthijs Sienot (@MatthijsSienot): Nu weet je bij een laadpaal vaak niet wat het kost om je e-auto op te laden. Te gek voor woorden. Als je benzine tankt, weet je ook van tevoren wat je moet betalen. Maar dit verandert per 1 juni, volgens minister @SvVeldhoven. Antwoord op kamervragen van @RutgerSchonis en mij. https://t.co/NQgokiS120";;;;
"Alexander van Hattem	07-04-2020 14:58:10	PVV	Alexander van Hattem (@AWJAvanHattem): RT @Martinbosma_pvv: Bizar: twee ministers. https://t.co/cY6dRtbbov";;;;
"Alexander van Hattem	07-04-2020 14:53:06	PVV	Alexander van Hattem (@AWJAvanHattem): RT @geertwilderspvv: Zeer hoog aantal aan #Corona overleden mensen te betreuren. We leven intens mee met alle nabestaanden. Wat een verdriet. https://t.co/HVbWfxqwsC";;;;
"Thierry Baudet	07-04-2020 14:47:34	FvD	Thierry Baudet (@thierrybaudet): Van lockdown naar lock-in: het plan van #FVD voor een gecontroleerde exit-strategie! https://t.co/ikq5hvS8Qv via @YouTube";;;;
"Fleur Agema	07-04-2020 14:46:23	PVV	Fleur Agema (@FleurAgemaPVV): RT @FleurAgemaPVV: Mijn lieve, zorgzame, corpulente vriend Mike, met hartkwalen en diabetes blijft binnen. Hij zei: ‘buiten waart de dood . Het laat me niet meer los. #blijfthuis ️";;;;
"Thierry Baudet	07-04-2020 14:42:47	FvD	Thierry Baudet (@thierrybaudet): RT @JJ_Almekinders: Senator @lennartvdlinden over de #FVD plannen voor een intelligente exitstrategie en economische kickstart: 'FVD werkt momenteel samen met ondernemers, experts, en vertegenwoordigers van het bedrijfsleven aan constructieve vervolgplannen en zullen deze binnenkort presenteren.' https://t.co/Dndhq5OLLx";;;;
"Maurits von Martels	07-04-2020 14:40:56	CDA	Maurits von Martels (@mvonmartels): De #weidevogel staat symbool voor ons land maar de populatie neemt helaas af! Welke concrete maatregelen moeten we treffen om het tij te keren? https://t.co/Dwgma84OMs";;;;
"Bart Snels	07-04-2020 14:39:18	GroenLinks	Bart Snels (@bartsnels): RT @europeangreens: ""The corona crisis affects all countries. Joint recovery is not only an expression of solidarity, but is the only option based on well-understood self-interest."" - @bartsnels Member of the Dutch Parliament for the Dutch Greens #Eurobonds #Coronabonds https://t.co/9lFXGSr5BP";;;;
"Maurits von Martels	07-04-2020 14:33:56	CDA	Maurits von Martels (@mvonmartels): Historisch besef is soms ver te zoeken! https://t.co/dwEIy4FxfB";;;;
"Laura Bromet 🦔	07-04-2020 14:32:06	onbekend	Laura Bromet 🦔 (@LauraBromet): Vette vis https://t.co/KFWoOlnljq";;;;
"Thierry Baudet	07-04-2020 14:31:49	FvD	Thierry Baudet (@thierrybaudet): De fusie KLM - Air France was een blunder van het kaliber introductie-euromunt. Nu hebben we een kans over te gaan tot ontvlechting en onze nationale luchtvaartmaatschappij en onze nationale munt weer terug te krijgen! #FVD https://t.co/dqWXCyPmOn https://t.co/fflPtZcfwE";;;;
"Maarten Groothuizen	07-04-2020 14:31:37	D66	Maarten Groothuizen (@GroothuizenD66): RT @D66_EersteKamer: "" Mijn fractie vraagt extra aandacht voor groepen waar de nood wel erg hoog wordt. En voor andere landen waar mensen hard getroffen worden";" in de Europese Unie en daarbuiten is onze solidariteit noodzakelijk."" -@ALBredenoord Lees hier de stemverklaring⤵️ https://t.co/757C5Nt9Wu";;;
"Thierry Baudet	07-04-2020 14:31:29	FvD	Thierry Baudet (@thierrybaudet): RT @fvdemocratie: FVD steunde zojuist in de Eerste Kamer het economische steunpakket van het kabinet. FVD denkt dat nóg meer economische maatregelen noodzakelijk zijn, een kickstart voor ons land dus. We moeten ons daarnaast voorbereiden op een gecontroleerde EXIT-strategie. https://t.co/QcZ37HC4cE";;;;
"E. van Dijk	07-04-2020 14:23:38	onbekend	E. van Dijk (@EmielVanDijkPVV): RT @geertwilderspvv: Vreemd, Verhagen was letterlijk in tranen zo blij dat hij in 2010 vice-premier kon worden, hij bedankte me ongeveer tien keer per dag na de onderhandelingen en was ontzettend boos toen het bij de Catshuis-onderhandelingen misging - vooral vanwege zijn eigen baantje. https://t.co/L6obBkPHea";;;;
"E. van Dijk	07-04-2020 14:22:59	onbekend	E. van Dijk (@EmielVanDijkPVV): RT @geertwilderspvv: Zeer hoog aantal aan #Corona overleden mensen te betreuren. We leven intens mee met alle nabestaanden. Wat een verdriet. https://t.co/HVbWfxqwsC";;;;
"Suzanne Kröger	07-04-2020 14:11:38	GroenLinks	Suzanne Kröger (@suzanne_GL): Dankzij de acties van omwonenden op de agenda van de Kamer. En nu definitief: bomekap voor bezinestation gaat niet door!  https://t.co/kZsylk8qVk";;;;
"Léon de Jong	07-04-2020 14:10:23	PVV	Léon de Jong (@leondejong): RT @geertwilderspvv: Zeer hoog aantal aan #Corona overleden mensen te betreuren. We leven intens mee met alle nabestaanden. Wat een verdriet. https://t.co/HVbWfxqwsC";;;;
"Geert Wilders	07-04-2020 14:10:11	PVV	Geert Wilders (@geertwilderspvv): Zeer hoog aantal aan #Corona overleden mensen te betreuren. We leven intens mee met alle nabestaanden. Wat een verdriet. https://t.co/HVbWfxqwsC";;;;
"René Dercksen	07-04-2020 14:04:39	PVV	René Dercksen (@ReneDercksen): RT @Sandervandam2: @guyverhofstadt Too late. The EU was to busy listening to the fantasies of a 16 year old girl who needs to go to school more often.";;;;
"Agnes Mulder	07-04-2020 14:04:14	CDA	Agnes Mulder (@AgnesMulderCDA): RT @suzanne_GL: Een digitale procedure vergadering met de @IenWTweedeKamer. @AgnesMulderCDA zit voor! https://t.co/NJxcb2LnBL";;;;
"Maarten Groothuizen	07-04-2020 14:03:26	D66	Maarten Groothuizen (@GroothuizenD66): RT @achrafboualiD66: De gehele wereld heeft nu een gezamenlijke uitdaging. Alle landen zijn ook via waardeketens aan elkaar verbonden. Goed dat @SigridKaag oproept voor een noodpakket gezamenlijk in de EU ! @PartosNL https://t.co/jnnzJ774Df";;;;
"Han ten Broeke	07-04-2020 14:00:42	VVD	Han ten Broeke (@HanTenBroeke): RT @hcssnl: In verschillende landen wordt technologie ingezet om de verspreiding van corona tegen te gaan. Ook Nederland denkt erover om locatiegegevens van smartphones te gebruiken. Onbegrijpelijk dat we nog zitten te wachten”, zei @HanTenBroeke bij @WNLVandaag https://t.co/KNrpXFRQeF";;;;
"Achraf Bouali	07-04-2020 13:59:43	D66	Achraf Bouali (@achrafboualiD66): De gehele wereld heeft nu een gezamenlijke uitdaging. Alle landen zijn ook via waardeketens aan elkaar verbonden. Goed dat @SigridKaag oproept voor een noodpakket gezamenlijk in de EU ! @PartosNL https://t.co/jnnzJ774Df";;;;
"Suzanne Kröger	07-04-2020 13:57:01	GroenLinks	Suzanne Kröger (@suzanne_GL): Dankzij de acties van omwonenden op de agenda van de Kamer. En nu defintief: kap van duizenden bomen voor tankstation van de baan!  https://t.co/kZsylk8qVk";;;;
"Alexander van Hattem	07-04-2020 13:56:09	PVV	Alexander van Hattem (@AWJAvanHattem): RT @VrouwvdVrijheid: Notaoverleg #Eurogroep. #PVV van Dijck: Geen extra euro's naar de periferie (bijv Italië), ook niet om solidair te zijn. We hebben straks elke cent in Nederland keihard nodig. De afgelopen week heeft voor de zoveelste keer het failliet van de euro aangetoond. Kijk mee https://t.co/V906c7mxgx";;;;
"Thierry Baudet	07-04-2020 13:54:37	FvD	Thierry Baudet (@thierrybaudet): Na twee weken lockdown stemmen de eerste resultaten voorzichtig positief. Nu is het tijd om richting gecontroleerde exit-strategie te gaan. Een intelligente lock-in” voor kwetsbare groepen"; en de rest van de samenleving geleidelijk weer open. Ons plan: https://t.co/loH9FCJwcN;;;
"Alexander van Hattem	07-04-2020 13:54:27	PVV	Alexander van Hattem (@AWJAvanHattem): RT @geertwilderspvv: Vreemd, Verhagen was letterlijk in tranen zo blij dat hij in 2010 vice-premier kon worden, hij bedankte me ongeveer tien keer per dag na de onderhandelingen en was ontzettend boos toen het bij de Catshuis-onderhandelingen misging - vooral vanwege zijn eigen baantje. https://t.co/L6obBkPHea";;;;
"Mark Rutte	07-04-2020 13:44:56	VVD	Mark Rutte (@MinPres): I just had a good phone call with Chinese PM Li Keqiang. We stressed the need for effective international cooperation in the fight against #COVID19. We are in this together. I thanked China for its solidarity and all the support it provides with high quality medical equipment.";;;;
"Mark Rutte	07-04-2020 13:44:51	VVD	Mark Rutte (@MinPres): Net goed gesprek gehad met Chinese MP Li Keqiang. We benadrukten dat internationale samenwerking noodzakelijk is voor de bestrijding van #corona. We moeten dit samen doen. Ik heb China bedankt voor hun solidariteit en hun ondersteuning met medische apparatuur van hoge kwaliteit.";;;;
